Rank,County,Region,Black population,% of county,Cumulative,Cumulative % of state
146,"Eastland","FW/Denton/Panhandle",401,2.2%,3517231,99.7%
147,"Kendall","San Antonio/Corpus",388,0.8%,3517619,99.7%
148,"Rains","Dallas/Collin/NE",357,2.9%,3517976,99.7%
149,"Hartley","FW/Denton/Panhandle",355,6.7%,3518331,99.7%
150,"Lamb","FW/Denton/Panhandle",353,2.7%,3518684,99.7%
151,"Andrews","FW/Denton/Panhandle",347,1.9%,3519031,99.7%
152,"Goliad","San Antonio/Corpus",339,4.8%,3519370,99.7%
153,"Haskell","FW/Denton/Panhandle",317,5.9%,3519687,99.7%
154,"Coleman","San Antonio/Corpus",302,3.9%,3519989,99.8%
155,"Runnels","San Antonio/Corpus",296,3.0%,3520285,99.8%
156,"Jack","FW/Denton/Panhandle",293,3.4%,3520578,99.8%
157,"Willacy","El Paso/Border/RGV",293,1.4%,3520871,99.8%
158,"Stephens","FW/Denton/Panhandle",290,3.1%,3521161,99.8%
159,"Winkler","FW/Denton/Panhandle",275,3.6%,3521436,99.8%
160,"Aransas","San Antonio/Corpus",273,1.1%,3521709,99.8%
161,"Young","FW/Denton/Panhandle",254,1.4%,3521963,99.8%
162,"Callahan","FW/Denton/Panhandle",245,1.7%,3522208,99.8%
163,"La Salle","El Paso/Border/RGV",240,3.5%,3522448,99.8%
164,"Live Oak","San Antonio/Corpus",238,2.1%,3522686,99.8%
165,"Bandera","San Antonio/Corpus",232,1.1%,3522918,99.8%
166,"Jim Wells","San Antonio/Corpus",231,0.6%,3523149,99.8%
167,"Llano","Central Texas/Austin",231,1.0%,3523380,99.9%
168,"Bosque","Central Texas/Austin",217,1.2%,3523597,99.9%
169,"Collingsworth","FW/Denton/Panhandle",216,7.9%,3523813,99.9%
170,"Reeves","El Paso/Border/RGV",188,1.4%,3524001,99.9%
171,"Somervell","FW/Denton/Panhandle",183,1.9%,3524184,99.9%
172,"Donley","FW/Denton/Panhandle",177,5.4%,3524361,99.9%
173,"Starr","El Paso/Border/RGV",164,0.2%,3524525,99.9%
174,"Reagan","FW/Denton/Panhandle",159,4.9%,3524684,99.9%
175,"Hamilton","Central Texas/Austin",158,1.9%,3524842,99.9%
176,"Uvalde","El Paso/Border/RGV",154,0.6%,3524996,99.9%
177,"Oldham","FW/Denton/Panhandle",153,7.3%,3525149,99.9%
178,"Deaf Smith","FW/Denton/Panhandle",148,0.8%,3525297,99.9%
179,"San Saba","Central Texas/Austin",141,2.4%,3525438,99.9%
180,"Fisher","FW/Denton/Panhandle",140,3.8%,3525578,99.9%
181,"Hall","FW/Denton/Panhandle",140,5.0%,3525718,99.9%
182,"Maverick","El Paso/Border/RGV",133,0.2%,3525851,99.9%
183,"Cochran","FW/Denton/Panhandle",127,5.0%,3525978,99.9%
184,"Floyd","FW/Denton/Panhandle",126,2.4%,3526104,99.9%
185,"Concho","San Antonio/Corpus",122,3.7%,3526226,99.9%
186,"Hardeman","FW/Denton/Panhandle",121,3.4%,3526347,99.9%
187,"Clay","FW/Denton/Panhandle",117,1.1%,3526464,99.9%
188,"Crosby","FW/Denton/Panhandle",112,2.2%,3526576,99.9%
189,"Knox","FW/Denton/Panhandle",100,3.0%,3526676,99.9%
190,"Blanco","Central Texas/Austin",92,0.8%,3526768,99.9%
191,"Lynn","FW/Denton/Panhandle",88,1.6%,3526856,100.0%
192,"Castro","FW/Denton/Panhandle",86,1.2%,3526942,100.0%
193,"Kimble","San Antonio/Corpus",84,1.9%,3527026,100.0%
194,"Wheeler","FW/Denton/Panhandle",81,1.7%,3527107,100.0%
195,"Zavala","El Paso/Border/RGV",79,0.8%,3527186,100.0%
196,"Crane","FW/Denton/Panhandle",74,1.6%,3527260,100.0%
197,"Comanche","FW/Denton/Panhandle",70,0.5%,3527330,100.0%
198,"Duval","El Paso/Border/RGV",69,0.7%,3527399,100.0%
199,"Archer","FW/Denton/Panhandle",67,0.8%,3527466,100.0%
200,"Cottle","FW/Denton/Panhandle",64,4.9%,3527530,100.0%
201,"Martin","FW/Denton/Panhandle",64,1.2%,3527594,100.0%
202,"Dimmit","El Paso/Border/RGV",60,0.7%,3527654,100.0%
203,"McCulloch","San Antonio/Corpus",58,0.8%,3527712,100.0%
204,"Coke","FW/Denton/Panhandle",57,1.7%,3527769,100.0%
205,"Brooks","El Paso/Border/RGV",54,0.8%,3527823,100.0%
206,"Gillespie","San Antonio/Corpus",51,0.2%,3527874,100.0%
207,"Briscoe","FW/Denton/Panhandle",45,3.7%,3527919,100.0%
208,"Real","San Antonio/Corpus",39,1.4%,3527958,100.0%
209,"Shackelford","FW/Denton/Panhandle",37,1.2%,3527995,100.0%
